ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
14802,50000.0,2,1,1,35,1,-1,-1,0,0,-2,0.0,354.0,134.0,134.0,0.0,0.0,354.0,134.0,0.0,0.0,0.0,190.0,0
14803,140000.0,2,1,2,29,1,2,0,0,0,0,112592.0,108669.0,110174.0,111079.0,113439.0,114983.0,0.0,5500.0,4900.0,5000.0,4112.0,4500.0,0
14804,90000.0,2,1,1,44,-1,-1,-2,-2,-2,-2,539.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14805,60000.0,1,2,1,49,0,0,0,0,0,0,59578.0,66781.0,65508.0,17677.0,19481.0,19205.0,22000.0,2188.0,2501.0,2512.0,4005.0,2604.0,1
14806,20000.0,1,2,2,24,2,2,2,2,2,2,16276.0,16715.0,18327.0,17735.0,19446.0,18988.0,1000.0,2200.0,0.0,2000.0,0.0,1200.0,0
14807,340000.0,2,1,1,62,0,0,0,0,0,0,509365.0,522309.0,534137.0,466565.0,466774.0,471573.0,20309.0,20137.0,16565.0,16774.0,21573.0,21000.0,0
14808,30000.0,1,2,2,29,1,3,2,0,0,0,31986.0,31189.0,29634.0,28174.0,27307.0,24449.0,0.0,4.0,1020.0,1110.0,989.0,982.0,0
14809,170000.0,1,1,1,35,-1,-1,-1,-1,-1,-1,481.0,326.0,526.0,526.0,635.0,760.0,326.0,526.0,526.0,635.0,760.0,526.0,1
14810,130000.0,1,1,1,45,2,0,0,2,2,2,53709.0,55244.0,58716.0,57174.0,61240.0,61284.0,3000.0,5000.0,0.0,5000.0,1200.0,3000.0,1
14811,250000.0,2,2,1,44,0,0,2,2,2,0,6107.0,8837.0,8535.0,10647.0,10352.0,12788.0,3000.0,0.0,3000.0,0.0,3000.0,3000.0,0
14812,200000.0,2,2,1,36,-1,-1,-1,-1,-1,-1,390.0,1308.0,1662.0,14490.0,34902.0,390.0,1308.0,1662.0,14987.0,34902.0,390.0,7500.0,0
14813,10000.0,2,2,1,49,0,0,0,0,0,0,3100.0,4116.0,5280.0,5543.0,5605.0,5717.0,1073.0,1237.0,500.0,300.0,205.0,300.0,1
14814,180000.0,2,2,2,29,-1,-1,-2,-2,-1,2,13936.0,0.0,0.0,0.0,1030.0,440.0,0.0,0.0,0.0,1030.0,0.0,0.0,0
14815,230000.0,2,1,2,29,-1,-1,-1,-1,-1,-1,8916.0,318.0,725.0,2586.0,3198.0,4260.0,318.0,725.0,2592.0,3198.0,4260.0,4944.0,0
14816,200000.0,2,3,1,45,-1,-1,-1,-1,-1,-1,11025.0,6959.0,887.0,1462.0,15195.0,17933.0,6959.0,887.0,1462.0,15195.0,17933.0,887.0,0
14817,90000.0,2,3,2,33,0,0,0,0,0,-1,130765.0,98506.0,94475.0,39368.0,34884.0,424.0,4800.0,4000.0,1000.0,698.0,424.0,26979.0,0
14818,130000.0,1,3,2,28,-1,-1,-1,-1,-1,-1,3964.0,600.0,0.0,631.0,0.0,427.0,600.0,0.0,631.0,0.0,427.0,1747.0,0
14819,230000.0,1,1,2,26,-1,-1,-1,-1,-1,-1,1099.0,19686.0,3036.0,4806.0,-1.0,1699.0,19686.0,4000.0,4806.0,0.0,1700.0,3658.0,0
14820,320000.0,1,2,2,36,0,0,2,0,0,0,289508.0,302561.0,283356.0,275361.0,268871.0,256974.0,21041.0,1514.0,9122.0,9518.0,9209.0,10213.0,0
14821,30000.0,1,3,2,34,2,2,2,0,0,0,24367.0,28682.0,27922.0,28632.0,29075.0,30891.0,4723.0,0.0,1173.0,1056.0,2300.0,0.0,1
14822,80000.0,2,2,2,25,0,0,2,-1,-1,-1,57994.0,17695.0,7987.0,2622.0,2449.0,-331.0,3327.0,44.0,2629.0,2457.0,0.0,0.0,0
14823,80000.0,2,1,1,35,-1,-1,-2,-2,-1,-1,1000.0,0.0,0.0,0.0,490.0,707.0,0.0,0.0,0.0,490.0,707.0,450.0,1
14824,260000.0,2,2,1,45,-1,-1,-1,-1,-1,-1,7893.0,5923.0,5601.0,5480.0,5911.0,5963.0,5923.0,5601.0,5482.0,5911.0,5963.0,5757.0,0
14825,20000.0,1,3,2,26,2,0,0,0,0,0,14081.0,15835.0,16985.0,19985.0,9421.0,9764.0,2000.0,2000.0,3000.0,1000.0,500.0,1000.0,1
14826,200000.0,2,2,1,34,-1,0,-1,-1,-1,-1,795.0,1795.0,3618.0,0.0,1496.0,0.0,1000.0,3618.0,0.0,1496.0,0.0,0.0,1
14827,80000.0,2,2,2,23,0,0,2,0,0,0,54658.0,45978.0,32431.0,27674.0,23304.0,6586.0,5573.0,5.0,2000.0,1000.0,132.0,1998.0,0
14828,100000.0,2,1,2,42,0,-1,-1,0,0,0,60380.0,58567.0,79527.0,18950.0,19667.0,18531.0,2200.0,22004.0,656.0,1000.0,396.0,300.0,0
